gene,kw_stat,kw_pval,mean_Human,mean_RhesusM,mean_Mouse,kw_fdr,direction
IFIH1,5.430719,0.066181,0.657638,1.076804,0.932854,0.132435,NHP highest
MRPL9,5.430719,0.066181,3.342962,4.721102,4.110395,0.132435,NHP highest
DEF6,5.430719,0.066181,2.298003,0.582755,1.340808,0.132435,Human highest
FBXO5,5.430719,0.066181,1.198138,0.848036,1.033818,0.132435,Human highest
PAFAH2,5.430719,0.066181,3.007592,2.774781,3.391281,0.132435,Mouse highest
KCNA10,5.429119,0.066234,0.001418,0.154299,0.03815,0.132523,NHP highest
CLDN19,5.42184,0.066476,0.092002,0.338156,0.345672,0.132988,Mouse highest
DEFB135,5.406922,0.066973,0.585626,0.027082,0.217917,0.133965,Human highest
SLC45A3,5.404353,0.067059,0.382733,0.052565,0.12571,0.134119,Human highest
VKORC1,5.398358,0.067261,4.118787,3.076559,2.664261,0.134503,Human highest
PROK2,5.395665,0.067351,0.048499,0.228266,0.682516,0.134647,Mouse highest
PSMB11,5.395665,0.067351,0.008028,0.160898,0.237961,0.134647,Mouse highest
SIRT4,5.378431,0.067934,3.546411,3.715305,3.953341,0.135645,Mouse highest
TRIM26,5.378431,0.067934,4.690348,4.082328,5.34562,0.135645,Mouse highest
NPY1R,5.378431,0.067934,6.499314,6.448354,6.076786,0.135645,Human highest
UQCRC1,5.378431,0.067934,4.95943,5.203019,5.73197,0.135645,Mouse highest
EFEMP2,5.378431,0.067934,1.108226,1.281301,2.175737,0.135645,Mouse highest
EPHX4,5.378431,0.067934,6.556205,6.793088,7.018584,0.135645,Mouse highest
CCDC61,5.378431,0.067934,3.423868,3.109405,3.568718,0.135645,Mouse highest
PPP6C,5.378431,0.067934,6.046526,5.912701,5.736943,0.135645,Human highest
POU2F3,5.378431,0.067934,0.855744,1.032323,1.97441,0.135645,Mouse highest
TRIL,5.376683,0.067994,1.1071,0.509914,0.331251,0.135745,Human highest
CABLES2,5.371895,0.068157,3.046382,4.044782,3.668161,0.135753,NHP highest
TTC34,5.371895,0.068157,2.086268,1.095758,1.373424,0.135753,Human highest
SPIC,5.376214,0.06801,0.52192,0.110736,0.157712,0.135753,Human highest
CSPG5,5.371895,0.068157,4.496985,6.69099,5.985414,0.135753,NHP highest
FERMT2,5.371895,0.068157,4.701355,5.662324,5.362361,0.135753,NHP highest
IMPDH1,5.371895,0.068157,3.705656,4.931517,4.521976,0.135753,NHP highest
PRKD1,5.371895,0.068157,7.110144,5.400591,5.914012,0.135753,Human highest
ZBTB2,5.371895,0.068157,3.404655,4.223017,3.933226,0.135753,NHP highest
RNPC3,5.371895,0.068157,7.151807,4.378662,5.247812,0.135753,Human highest
LGALS8,5.371895,0.068157,4.964332,3.42114,3.958005,0.135753,Human highest
ADAM17,5.371895,0.068157,6.603014,3.800494,4.67038,0.135753,Human highest
ACSS2,5.371895,0.068157,4.656351,5.187028,5.001436,0.135753,NHP highest
NXPE3,5.371895,0.068157,5.262197,4.420345,4.730693,0.135753,Human highest
XPO1,5.371895,0.068157,7.053313,5.689694,6.119774,0.135753,Human highest
XKR4,5.371895,0.068157,8.74104,9.316539,9.100501,0.135753,NHP highest
NAV2,5.371895,0.068157,9.082688,8.618503,8.70464,0.135753,Human highest
MAPK1,5.371895,0.068157,7.635753,9.790147,9.159218,0.135753,NHP highest
ELOVL6,5.350327,0.068896,6.839789,6.292032,6.268239,0.136719,Human highest
CACNA2D3,5.350327,0.068896,10.336392,9.329088,9.308004,0.136719,Human highest
RNF126,5.350327,0.068896,4.585602,5.578546,5.704007,0.136719,Mouse highest
PPP1R1A,5.350327,0.068896,2.816225,7.879801,7.291292,0.136719,NHP highest
MRPL52,5.350327,0.068896,3.044113,5.490257,5.360773,0.136719,NHP highest
RBM33,5.350327,0.068896,6.987765,6.567418,6.35449,0.136719,Human highest
NDUFS7,5.350327,0.068896,4.854444,5.644876,5.988995,0.136719,Mouse highest
LSM2,5.350327,0.068896,3.516878,4.336391,4.593835,0.136719,Mouse highest
EPB41L2,5.350327,0.068896,9.051435,6.549794,6.898521,0.136719,Human highest
PDE9A,5.350327,0.068896,2.088078,3.367569,3.480399,0.136719,Mouse highest
DUSP26,5.350327,0.068896,4.526852,5.866992,6.083643,0.136719,Mouse highest
