human_gene,nhp_gene,syngo_term,mouse_gene
VAMP1,VAMP1,synaptic vesicle priming,Vamp1
NAPA,NAPA,synaptic vesicle priming,Napa
RPH3A,RPH3A,synaptic vesicle priming,Rph3a
SV2A,SV2A,synaptic vesicle priming,Sv2a
ERC2,ERC2,synaptic vesicle priming,Erc2
STXBP1,STXBP1,synaptic vesicle priming,Stxbp1
RIMS1,RIMS1,synaptic vesicle priming,Rims1
OTOF,OTOF,synaptic vesicle priming,Otof
CALB1,CALB1,calcium ion binding involved in regulation of presynaptic cytosolic calcium levels,Calb1
CALB2,CALB2,calcium ion binding involved in regulation of presynaptic cytosolic calcium levels,Calb2
CALB1,CALB1,calcium ion binding involved in regulation of postsynaptic cytosolic calcium levels,Calb1
VAPB,VAPB,postsynaptic ER,Vapb
EIF2B2,EIF2B2,postsynaptic ER,Eif2b2
CALR,CALR,postsynaptic ER,Calr
STXBP5,STXBP5,regulation of synaptic vesicle docking,Stxbp5
CAMK2A,CAMK2A,regulation of synaptic vesicle docking,Camk2a
LRFN4,LRFN4,regulation of postsynaptic density assembly,Lrfn4
CBLN1,CBLN1,regulation of postsynaptic density assembly,Cbln1
PRICKLE1,PRICKLE1,regulation of postsynaptic density assembly,Prickle1
GRID2,GRID2,regulation of postsynaptic density assembly,Grid2
LRFN1,LRFN1,regulation of postsynaptic density assembly,Lrfn1
SIPA1L1,SIPA1L1,regulation of postsynaptic density assembly,Sipa1l1
LRRTM2,LRRTM2,regulation of postsynaptic density assembly,Lrrtm2
FGFR1,FGFR1,regulation of postsynaptic density assembly,Fgfr1
PRICKLE2,PRICKLE2,regulation of postsynaptic density assembly,Prickle2
IL1RAP,IL1RAP,regulation of postsynaptic density assembly,Il1rap
CASKIN1,CASKIN1,regulation of postsynaptic density assembly,Caskin1
LRRC4B,LRRC4B,regulation of postsynaptic density assembly,Lrrc4b
PTK2B,PTK2B,regulation of postsynaptic density assembly,Ptk2b
LRRTM1,LRRTM1,regulation of postsynaptic density assembly,Lrrtm1
PTPRS,PTPRS,regulation of postsynaptic density assembly,Ptprs
NLGN1,NLGN1,regulation of postsynaptic density assembly,Nlgn1
CRIPT,CRIPT,regulation of postsynaptic density assembly,Cript
PTPRD,PTPRD,regulation of postsynaptic density assembly,Ptprd
NRXN1,NRXN1,regulation of postsynaptic density assembly,Nrxn1
LATS1,LATS1,regulation of postsynaptic density assembly,Lats1
KCNJ9,KCNJ9,regulation of presynaptic membrane potential,Kcnj9
CASR,CASR,regulation of presynaptic membrane potential,Casr
RIMBP2,RIMBP2,regulation of presynaptic membrane potential,Rimbp2
MMAB,MMAB,regulation protein catabolic process at postsynapse,Mmab
TRIM3,TRIM3,regulation protein catabolic process at postsynapse,Trim3
PLK2,PLK2,regulation protein catabolic process at postsynapse,Plk2
TRAF6,TRAF6,regulation protein catabolic process at postsynapse,Traf6
UBE2N,UBE2N,regulation protein catabolic process at postsynapse,Ube2n
EGLN1,EGLN1,regulation protein catabolic process at postsynapse,Egln1
MIB2,MIB2,regulation protein catabolic process at postsynapse,Mib2
CYLD,CYLD,regulation protein catabolic process at postsynapse,Cyld
UBE2V1,UBE2V1,regulation protein catabolic process at postsynapse,Ube2v1
NEDD4,NEDD4,regulation protein catabolic process at postsynapse,Nedd4
NEDD4L,NEDD4L,regulation protein catabolic process at postsynapse,Nedd4l
VHL,VHL,regulation protein catabolic process at postsynapse,Vhl
CUL3,CUL3,regulation protein catabolic process at postsynapse,Cul3
NRXN1,NRXN1,"trans-synaptic signaling, modulating synaptic transmission",Nrxn1
CBLN4,CBLN4,"trans-synaptic signaling, modulating synaptic transmission",Cbln4
CBLN2,CBLN2,"trans-synaptic signaling, modulating synaptic transmission",Cbln2
IGSF21,IGSF21,"trans-synaptic signaling, modulating synaptic transmission",Igsf21
NRXN3,NRXN3,"trans-synaptic signaling, modulating synaptic transmission",Nrxn3
NEO1,NEO1,"trans-synaptic signaling, modulating synaptic transmission",Neo1
CBLN1,CBLN1,"trans-synaptic signaling, modulating synaptic transmission",Cbln1
CCK,CCK,synaptic signaling via neuropeptide,Cck
NPY1R,NPY1R,synaptic signaling via neuropeptide,Npy1r
NPPA,NPPA,synaptic signaling via neuropeptide,Nppa
NPY,NPY,synaptic signaling via neuropeptide,Npy
VGF,VGF,synaptic signaling via neuropeptide,Vgf
NPY2R,NPY2R,synaptic signaling via neuropeptide,Npy2r
PENK,PENK,synaptic signaling via neuropeptide,Penk
NPY5R,NPY5R,synaptic signaling via neuropeptide,Npy5r
USP8,USP8,"regulation of protein catabolic process at postsynapse, modulating synaptic transmission",Usp8
FBXO2,FBXO2,"regulation of protein catabolic process at postsynapse, modulating synaptic transmission",Fbxo2
CDH1,CDH1,"regulation of protein catabolic process at postsynapse, modulating synaptic transmission",Cdh1
NEDD4,NEDD4,"regulation of protein catabolic process at postsynapse, modulating synaptic transmission",Nedd4
MDM2,MDM2,"regulation of protein catabolic process at postsynapse, modulating synaptic transmission",Mdm2
SLITRK3,SLITRK3,integral component of postsynaptic specialization membrane,Slitrk3
CHRNA4,CHRNA4,integral component of postsynaptic specialization membrane,Chrna4
CHRNA3,CHRNA3,integral component of postsynaptic specialization membrane,Chrna3
LRRTM2,LRRTM2,integral component of postsynaptic specialization membrane,Lrrtm2
KCND3,KCND3,integral component of postsynaptic specialization membrane,Kcnd3
GABRB2,GABRB2,integral component of postsynaptic specialization membrane,Gabrb2
CHRNA9,CHRNA9,integral component of postsynaptic specialization membrane,Chrna9
CDH10,CDH10,integral component of postsynaptic specialization membrane,Cdh10
GABRA5,GABRA5,integral component of postsynaptic specialization membrane,Gabra5
GABRB1,GABRB1,integral component of postsynaptic specialization membrane,Gabrb1
GLRA1,GLRA1,integral component of postsynaptic specialization membrane,Glra1
GLRA2,GLRA2,integral component of postsynaptic specialization membrane,Glra2
GABRA4,GABRA4,integral component of postsynaptic specialization membrane,Gabra4
SHISA7,SHISA7,integral component of postsynaptic specialization membrane,Shisa7
NLGN2,NLGN2,integral component of postsynaptic specialization membrane,Nlgn2
GABRG2,GABRG2,integral component of postsynaptic specialization membrane,Gabrg2
P2RX6,P2RX6,integral component of postsynaptic specialization membrane,P2rx6
CHRND,CHRND,integral component of postsynaptic specialization membrane,Chrnd
EPHA7,EPHA7,integral component of postsynaptic specialization membrane,Epha7
CHRNA10,CHRNA10,integral component of postsynaptic specialization membrane,Chrna10
NLGN3,NLGN3,integral component of postsynaptic specialization membrane,Nlgn3
GABBR1,GABBR1,integral component of postsynaptic specialization membrane,Gabbr1
CHRNB2,CHRNB2,integral component of postsynaptic specialization membrane,Chrnb2
LRFN3,LRFN3,integral component of postsynaptic specialization membrane,Lrfn3
CHRNB1,CHRNB1,integral component of postsynaptic specialization membrane,Chrnb1
CHRNE,CHRNE,integral component of postsynaptic specialization membrane,Chrne
KCND2,KCND2,integral component of postsynaptic specialization membrane,Kcnd2
NLGN1,NLGN1,integral component of postsynaptic specialization membrane,Nlgn1
CHRNB4,CHRNB4,integral component of postsynaptic specialization membrane,Chrnb4
CHRNA1,CHRNA1,integral component of postsynaptic specialization membrane,Chrna1
GABRA3,GABRA3,integral component of postsynaptic specialization membrane,Gabra3
GABRB3,GABRB3,integral component of postsynaptic specialization membrane,Gabrb3
KCNB1,KCNB1,integral component of postsynaptic specialization membrane,Kcnb1
GABRA1,GABRA1,integral component of postsynaptic specialization membrane,Gabra1
GABRA6,GABRA6,integral component of postsynaptic specialization membrane,Gabra6
GLRA3,GLRA3,integral component of postsynaptic specialization membrane,Glra3
HTR5A,HTR5A,integral component of postsynaptic specialization membrane,Htr5a
LRRTM1,LRRTM1,integral component of postsynaptic specialization membrane,Lrrtm1
SLC12A5,SLC12A5,integral component of postsynaptic specialization membrane,Slc12a5
GABRA2,GABRA2,integral component of postsynaptic specialization membrane,Gabra2
SRCIN1,SRCIN1,regulation of synapse assembly,Srcin1
LRRTM4,LRRTM4,regulation of synapse assembly,Lrrtm4
ICAM5,ICAM5,regulation of synapse assembly,Icam5
RAP2A,RAP2A,regulation of synapse assembly,Rap2a
NRG2,NRG2,regulation of synapse assembly,Nrg2
EPHB2,EPHB2,regulation of synapse assembly,Ephb2
NTN1,NTN1,regulation of synapse assembly,Ntn1
OGT,OGT,regulation of synapse assembly,Ogt
CRTAC1,CRTAC1,regulation of synapse assembly,Crtac1
SDC2,SDC2,regulation of synapse assembly,Sdc2
PPFIBP2,PPFIBP2,regulation of synapse assembly,Ppfibp2
EXOC7,EXOC7,regulation of synapse assembly,Exoc7
ELAVL2,ELAVL2,regulation of synapse assembly,Elavl2
PODXL,PODXL,regulation of synapse assembly,Podxl
VLDLR,VLDLR,regulation of synapse assembly,Vldlr
L1CAM,L1CAM,regulation of synapse assembly,L1cam
RTN4R,RTN4R,regulation of synapse assembly,Rtn4r
CTNNB1,CTNNB1,regulation of synapse assembly,Ctnnb1
SEMA4D,SEMA4D,regulation of synapse assembly,Sema4d
CHD4,CHD4,regulation of synapse assembly,Chd4
SRGAP3,SRGAP3,regulation of synapse assembly,Srgap3
SRPX2,SRPX2,regulation of synapse assembly,Srpx2
GRIK1,GRIK1,transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential,Grik1
CHRNB4,CHRNB4,transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential,Chrnb4
GABRA6,GABRA6,transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential,Gabra6
GABRA2,GABRA2,transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential,Gabra2
CHRND,CHRND,transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential,Chrnd
GABRB1,GABRB1,transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential,Gabrb1
CHRNG,CHRNG,transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential,Chrng
GRIK2,GRIK2,transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential,Grik2
CHRNB2,CHRNB2,transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential,Chrnb2
GABRG3,GABRG3,transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential,Gabrg3
CHRNB1,CHRNB1,transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential,Chrnb1
GABRA4,GABRA4,transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential,Gabra4
GRIN1,GRIN1,transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential,Grin1
GRIA2,GRIA2,transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential,Gria2
GABRG2,GABRG2,transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential,Gabrg2
CHRNA10,CHRNA10,transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential,Chrna10
GABRA5,GABRA5,transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential,Gabra5
CHRNA3,CHRNA3,transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential,Chrna3
GABRB3,GABRB3,transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential,Gabrb3
GABRB2,GABRB2,transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential,Gabrb2
GABRA1,GABRA1,transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential,Gabra1
GRIN2C,GRIN2C,transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential,Grin2c
GLRA2,GLRA2,transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential,Glra2
GRIN2D,GRIN2D,transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential,Grin2d
GRIA4,GRIA4,transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential,Gria4
GRIA1,GRIA1,transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential,Gria1
CHRNE,CHRNE,transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential,Chrne
GRIA3,GRIA3,transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential,Gria3
GABRR2,GABRR2,transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential,Gabrr2
GABRD,GABRD,transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential,Gabrd
GLRA1,GLRA1,transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential,Glra1
GLRB,GLRB,transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential,Glrb
GRIN2A,GRIN2A,transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential,Grin2a
GRIK5,GRIK5,transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential,Grik5
GABRE,GABRE,transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential,Gabre
CHRNA4,CHRNA4,transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential,Chrna4
CHRNA1,CHRNA1,transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential,Chrna1
GRIN2B,GRIN2B,transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential,Grin2b
GRIN3A,GRIN3A,transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential,Grin3a
CHRNA9,CHRNA9,transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential,Chrna9
GABRA3,GABRA3,transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential,Gabra3
CLSTN1,CLSTN1,integral component of spine apparatus membrane,Clstn1
CLASP2,CLASP2,presynaptic cytoskeleton organization,Clasp2
SACM1L,SACM1L,neurotransmitter receptor transport to postsynaptic membrane,Sacm1l
RAB8A,RAB8A,neurotransmitter receptor transport to postsynaptic membrane,Rab8a
MYLK,MYLK,neurotransmitter receptor transport to postsynaptic membrane,Mylk
MAPK10,MAPK10,neurotransmitter receptor transport to postsynaptic membrane,Mapk10
CLSTN1,CLSTN1,neurotransmitter receptor transport to postsynaptic membrane,Clstn1
CLTA,CLTA,presynaptic endocytic zone membrane,Clta
CLTC,CLTC,presynaptic endocytic zone membrane,Cltc
PIP5K1C,PIP5K1C,presynaptic endocytic zone membrane,Pip5k1c
DNM1L,DNM1L,presynaptic endocytic zone membrane,Dnm1l
CLTB,CLTB,presynaptic endocytic zone membrane,Cltb
DNM1,DNM1,presynaptic endocytic zone membrane,Dnm1
CNR1,CNR1,retrograde trans-synaptic signaling by endocannabinoid,Cnr1
DAGLA,DAGLA,retrograde trans-synaptic signaling by endocannabinoid,Dagla
FABP5,FABP5,retrograde trans-synaptic signaling by endocannabinoid,Fabp5
CNR1,CNR1,regulation of ATP metabolic process in the presynapse,Cnr1
CNR2,CNR2,"trans-synaptic signaling by endocannabinoid, modulating synaptic transmission",Cnr2
CNRIP1,CNRIP1,"regulation of trans-synaptic signaling by endocannabinoid, modulating synaptic transmission",Cnrip1
FAAH,FAAH,"regulation of trans-synaptic signaling by endocannabinoid, modulating synaptic transmission",Faah
PAK1,PAK1,"regulation of trans-synaptic signaling by endocannabinoid, modulating synaptic transmission",Pak1
NRXN1,NRXN1,"regulation of trans-synaptic signaling by endocannabinoid, modulating synaptic transmission",Nrxn1
SNAP25,SNAP25,anchored component of presynaptic membrane,Snap25
RGS7BP,RGS7BP,anchored component of presynaptic membrane,Rgs7bp
CNTN1,CNTN1,anchored component of presynaptic membrane,Cntn1
MARCKSL1,MARCKSL1,anchored component of presynaptic membrane,Marcksl1
CNTN6,CNTN6,anchored component of presynaptic membrane,Cntn6
CNTN5,CNTN5,anchored component of presynaptic membrane,Cntn5
GPC4,GPC4,anchored component of presynaptic membrane,Gpc4
MARCKS,MARCKS,anchored component of presynaptic membrane,Marcks
RAC1,RAC1,anchored component of presynaptic membrane,Rac1
LSAMP,LSAMP,anchored component of presynaptic membrane,Lsamp
CPEB1,CPEB1,"regulation of translation at synapse, modulating synaptic transmission",Cpeb1
CPEB2,CPEB2,"regulation of translation at synapse, modulating synaptic transmission",Cpeb2
MTOR,MTOR,"regulation of translation at synapse, modulating synaptic transmission",Mtor
EPB41L1,EPB41L1,regulation of exocytic insertion of neurotransmitter receptor to postsynaptic membrane,Epb41l1
CPLX1,CPLX1,regulation of exocytic insertion of neurotransmitter receptor to postsynaptic membrane,Cplx1
VAMP1,VAMP1,regulation of synaptic vesicle fusion to presynaptic active zone membrane,Vamp1
CPLX2,CPLX2,regulation of synaptic vesicle fusion to presynaptic active zone membrane,Cplx2
RAB3A,RAB3A,regulation of synaptic vesicle fusion to presynaptic active zone membrane,Rab3a
CPLX1,CPLX1,regulation of synaptic vesicle fusion to presynaptic active zone membrane,Cplx1
CPLX3,CPLX3,regulation of synaptic vesicle fusion to presynaptic active zone membrane,Cplx3
RAB27B,RAB27B,anchored component of synaptic vesicle membrane,Rab27b
CPLX3,CPLX3,anchored component of synaptic vesicle membrane,Cplx3
RAB26,RAB26,anchored component of synaptic vesicle membrane,Rab26
RAB5A,RAB5A,anchored component of synaptic vesicle membrane,Rab5a
RAB4B,RAB4B,anchored component of synaptic vesicle membrane,Rab4b
RAB4A,RAB4A,anchored component of synaptic vesicle membrane,Rab4a
RAB5B,RAB5B,anchored component of synaptic vesicle membrane,Rab5b
RAB10,RAB10,anchored component of synaptic vesicle membrane,Rab10
RAB2A,RAB2A,anchored component of synaptic vesicle membrane,Rab2a
DNAJC5,DNAJC5,anchored component of synaptic vesicle membrane,Dnajc5
RAB3C,RAB3C,anchored component of synaptic vesicle membrane,Rab3c
RAB7A,RAB7A,anchored component of synaptic vesicle membrane,Rab7
RAC1,RAC1,anchored component of synaptic vesicle membrane,Rac1
RAB3A,RAB3A,anchored component of synaptic vesicle membrane,Rab3a
RAB11A,RAB11A,anchored component of synaptic vesicle membrane,Rab11a
RAB5C,RAB5C,anchored component of synaptic vesicle membrane,Rab5c
RAB11B,RAB11B,anchored component of synaptic vesicle membrane,Rab11b
RAB35,RAB35,anchored component of synaptic vesicle membrane,Rab35
RAB3B,RAB3B,anchored component of synaptic vesicle membrane,Rab3b
RAB14,RAB14,anchored component of synaptic vesicle membrane,Rab14
CPT1C,CPT1C,integral component of postsynaptic ER membrane,Cpt1c
FRRS1L,FRRS1L,integral component of postsynaptic ER membrane,Frrs1l
CRKL,CRKL,postsynaptic specialization assembly,Crkl
NLGN2,NLGN2,postsynaptic specialization assembly,Nlgn2
DOCK7,DOCK7,postsynaptic specialization assembly,Dock7
CRK,CRK,postsynaptic specialization assembly,Crk
NLGN1,NLGN1,postsynaptic specialization assembly,Nlgn1
NTNG2,NTNG2,postsynaptic specialization assembly,Ntng2
NLGN3,NLGN3,postsynaptic specialization assembly,Nlgn3
CTBP1,CTBP1,presynapse to nucleus signaling pathway,Ctbp1
VAMP2,VAMP2,synaptic vesicle docking,Vamp2
CTBP2,CTBP2,synaptic vesicle docking,Ctbp2
RIMS1,RIMS1,synaptic vesicle docking,Rims1
RIMS2,RIMS2,synaptic vesicle docking,Rims2
PPFIA3,PPFIA3,synaptic vesicle docking,Ppfia3
SNAP91,SNAP91,postsynaptic membrane,Snap91
SYT1,SYT1,postsynaptic membrane,Syt1
GNAO1,GNAO1,postsynaptic membrane,Gnao1
NRGN,NRGN,postsynaptic membrane,Nrgn
NTRK2,NTRK2,postsynaptic membrane,Ntrk2
KCTD16,KCTD16,postsynaptic membrane,Kctd16
DBN1,DBN1,postsynaptic membrane,Dbn1
HIP1,HIP1,postsynaptic membrane,Hip1
CTNNB1,CTNNB1,postsynaptic membrane,Ctnnb1
RGS7,RGS7,postsynaptic membrane,Rgs7
GNB5,GNB5,postsynaptic membrane,Gnb5
KCTD12,KCTD12,postsynaptic membrane,Kctd12
NAPEPLD,NAPEPLD,postsynaptic membrane,Napepld
PPFIA2,PPFIA2,structural constituent of postsynaptic density,Ppfia2
SHANK1,SHANK1,structural constituent of postsynaptic density,Shank1
SHANK3,SHANK3,structural constituent of postsynaptic density,Shank3
FOXM1,FOXM1,structural constituent of postsynaptic density,Foxm1
DLG1,DLG1,structural constituent of postsynaptic density,Dlg1
MAGI2,MAGI2,structural constituent of postsynaptic density,Magi2
DLG3,DLG3,structural constituent of postsynaptic density,Dlg3
TANC2,TANC2,structural constituent of postsynaptic density,Tanc2
DLGAP1,DLGAP1,structural constituent of postsynaptic density,Dlgap1
DLG2,DLG2,structural constituent of postsynaptic density,Dlg2
CTNND2,CTNND2,structural constituent of postsynaptic density,Ctnnd2
SHANK2,SHANK2,structural constituent of postsynaptic density,Shank2
DLG4,DLG4,structural constituent of postsynaptic density,Dlg4
RAB11A,RAB11A,synaptic vesicle endosomal processing,Rab11a
CTSD,CTSD,synaptic vesicle endosomal processing,Ctsd
TBC1D24,TBC1D24,synaptic vesicle endosomal processing,Tbc1d24
RAB35,RAB35,synaptic vesicle endosomal processing,Rab35
EIF4E,EIF4E,"regulation of translation at postsynapse, modulating synaptic transmission",Eif4e
CYFIP1,CYFIP1,"regulation of translation at postsynapse, modulating synaptic transmission",Cyfip1
FMR1,FMR1,"regulation of translation at postsynapse, modulating synaptic transmission",Fmr1
CYTH2,CYTH2,extrinsic component of postsynaptic specialization membrane,Cyth2
NPTX2,NPTX2,extrinsic component of postsynaptic specialization membrane,Nptx2
RIMS1,RIMS1,extrinsic component of presynaptic active zone membrane,Rims1
DGKI,DGKI,extrinsic component of presynaptic active zone membrane,Dgki
DMXL2,DMXL2,regulation of proton loading,Dmxl2
SLC9A6,SLC9A6,regulation of proton loading,Slc9a6
DNAJC5,DNAJC5,presynaptic chaperone-mediated protein folding,Dnajc5
HSPA8,HSPA8,presynaptic chaperone-mediated protein folding,Hspa8
SGTA,SGTA,presynaptic chaperone-mediated protein folding,Sgta
HSPA8,HSPA8,synaptic vesicle uncoating,Hspa8
SYNJ1,SYNJ1,synaptic vesicle uncoating,Synj1
DNAJC6,DNAJC6,synaptic vesicle uncoating,Dnajc6
DNM2,DNM2,postsynaptic endocytosis,Dnm2
RAB5A,RAB5A,postsynaptic endocytic zone membrane,Rab5a
DNM3,DNM3,postsynaptic endocytic zone membrane,Dnm3
DOC2A,DOC2A,calcium-dependent activation of synaptic vesicle fusion,Doc2a
DOC2B,DOC2B,calcium-dependent activation of synaptic vesicle fusion,Doc2b
SYT9,SYT9,calcium-dependent activation of synaptic vesicle fusion,Syt9
SYT7,SYT7,calcium-dependent activation of synaptic vesicle fusion,Syt7
SYT2,SYT2,calcium-dependent activation of synaptic vesicle fusion,Syt2
SYT1,SYT1,calcium-dependent activation of synaptic vesicle fusion,Syt1
DPYSL2,DPYSL2,transport,Dpysl2
NRN1,NRN1,transport,Nrn1
SLC6A6,SLC6A6,transport,Slc6a6
MYO5A,MYO5A,transport,Myo5a
VPS26B,VPS26B,postsynaptic early endosome,Vps26b
EEA1,EEA1,postsynaptic early endosome,Eea1
SNX27,SNX27,postsynaptic early endosome,Snx27
SNX6,SNX6,postsynaptic early endosome,Snx6
RPL36,RPL36,translation at postsynapse,Rpl36
RPL38,RPL38,translation at postsynapse,Rpl38
RPL37A,RPL37A,translation at postsynapse,Rpl37a
RPL13A,RPL13A,translation at postsynapse,Rpl13a
RPL28,RPL28,translation at postsynapse,Rpl28
RPL6,RPL6,translation at postsynapse,Rpl6
RPS28,RPS28,translation at postsynapse,Rps28
RPS15A,RPS15A,translation at postsynapse,Rps15a
RPS16,RPS16,translation at postsynapse,Rps16
RPL23,RPL23,translation at postsynapse,Rpl23
RPL27,RPL27,translation at postsynapse,Rpl27
RPL23A,RPL23A,translation at postsynapse,Rpl23a
RPL10A,RPL10A,translation at postsynapse,Rpl10a
RPS11,RPS11,translation at postsynapse,Rps11
RPL5,RPL5,translation at postsynapse,Rpl5
RPS13,RPS13,translation at postsynapse,Rps13
RPL10,RPL10,translation at postsynapse,Rpl10
RPL4,RPL4,translation at postsynapse,Rpl4
RPS5,RPS5,translation at postsynapse,Rps5
RPL34,RPL34,translation at postsynapse,Rpl34
RPL14,RPL14,translation at postsynapse,Rpl14
RPL11,RPL11,translation at postsynapse,Rpl11
UBA52,UBA52,translation at postsynapse,Uba52
RPL27A,RPL27A,translation at postsynapse,Rpl27a
RPL26,RPL26,translation at postsynapse,Rpl26
RPL22,RPL22,translation at postsynapse,Rpl22
RPS14,RPS14,translation at postsynapse,Rps14
RPL37,RPL37,translation at postsynapse,Rpl37
RPL35A,RPL35A,translation at postsynapse,Rpl35a
RPL36AL,RPL36AL,translation at postsynapse,Gm6525
RPS27A,RPS27A,translation at postsynapse,Rps27a
RPL13,RPL13,translation at postsynapse,Rpl13
RPL12,RPL12,translation at postsynapse,Rpl12
RPL15,RPL15,translation at postsynapse,Rpl15
RPL32,RPL32,translation at postsynapse,Rpl32
MRPS12,MRPS12,translation at postsynapse,Mrps12
EEF2,EEF2,translation at postsynapse,Eef2
RPL8,RPL8,translation at postsynapse,Rpl8
ELAVL4,ELAVL4,regulation of translation at postsynapse,Elavl4
NGDN,NGDN,regulation of translation at postsynapse,Ngdn
EEF2K,EEF2K,regulation of translation at postsynapse,Eef2k
EFNB3,EFNB3,"trans-synaptic signaling by trans-synaptic complex, modulating synaptic transmission",Efnb3
NPTN,NPTN,"trans-synaptic signaling by trans-synaptic complex, modulating synaptic transmission",Nptn
FMR1,FMR1,"regulation of translation at presynapse, modulating synaptic transmission",Fmr1
EIF4EBP1,EIF4EBP1,"regulation of translation at presynapse, modulating synaptic transmission",Eif4ebp1
ENAH,ENAH,postsynaptic cytoskeleton organization,Enah
KIF2C,KIF2C,postsynaptic cytoskeleton organization,Kif2c
EPHA4,EPHA4,synapse disassembly,Epha4
EPHB2,EPHB2,postsynaptic membrane assembly,Ephb2
EVI5L,EVI5L,regulation of presynaptic dense core vesicle exocytosis,Evi5l
PRKCE,PRKCE,regulation of presynaptic dense core vesicle exocytosis,Prkce
UNC13B,UNC13B,regulation of presynaptic dense core vesicle exocytosis,Unc13b
TBC1D2B,TBC1D2B,regulation of presynaptic dense core vesicle exocytosis,Tbc1d2b
P2RX7,P2RX7,regulation of presynaptic dense core vesicle exocytosis,P2rx7
EVI5,EVI5,regulation of presynaptic dense core vesicle exocytosis,Evi5
RAB3A,RAB3A,regulation of presynaptic dense core vesicle exocytosis,Rab3a
PTPN23,PTPN23,regulation of presynaptic dense core vesicle exocytosis,Ptpn23
RAB11B,RAB11B,regulation of presynaptic dense core vesicle exocytosis,Rab11b
STXBP5,STXBP5,regulation of presynaptic dense core vesicle exocytosis,Stxbp5
TBC1D2,TBC1D2,regulation of presynaptic dense core vesicle exocytosis,Tbc1d2
EXOC2,EXOC2,anterograde axonal protein transport,Exoc2
FEZ1,FEZ1,anterograde axonal protein transport,Fez1
FBXL20,FBXL20,"regulation of protein catabolic process at presynapse, modulating synaptic transmission",Fbxl20
FGF22,FGF22,trans-synaptic signaling,Fgf22
WLS,WLS,trans-synaptic signaling,Wls
PTPRS,PTPRS,trans-synaptic signaling,Ptprs
IGSF11,IGSF11,trans-synaptic signaling,Igsf11
NRXN3,NRXN3,trans-synaptic signaling,Nrxn3
PTPRD,PTPRD,trans-synaptic signaling,Ptprd
KIF1A,KIF1A,anterograde dendritic transport,Kif1a
KIF3A,KIF3A,anterograde dendritic transport,Kif3a
FLOT2,FLOT2,anterograde dendritic transport,Flot2
RAB17,RAB17,anterograde dendritic transport,Rab17
FZD9,FZD9,regulation of postsynaptic cytosolic calcium levels,Fzd9
GRID2IP,GRID2IP,regulation of postsynaptic cytosolic calcium levels,Grid2ip
WNT5A,WNT5A,regulation of postsynaptic cytosolic calcium levels,Wnt5a
MYO5A,MYO5A,regulation of postsynaptic cytosolic calcium levels,Myo5a
SYNPO,SYNPO,regulation of postsynaptic cytosolic calcium levels,Synpo
GABBR1,GABBR1,G protein-coupled neurotransmitter receptor activity involved in regulation of presynaptic membrane potential,Gabbr1
GABRB1,GABRB1,G protein-coupled neurotransmitter receptor activity involved in regulation of presynaptic membrane potential,Gabrb1
KCTD8,KCTD8,G protein-coupled neurotransmitter receptor activity involved in regulation of presynaptic membrane potential,Kctd8
